Date,Age,Tm,Opp,W_or_L,MP,PTS
2015-12-17,30-352,CLE,OKC,W (+4),39:37,33
2015-12-20,30-355,CLE,PHI,W (+22),25:19,23
2015-12-23,30-358,CLE,NYK,W (+7),37:43,24
2015-12-25,30-360,CLE,GSW,L (-6),38:33,25
2015-12-26,30-361,CLE,POR,L (-29),26:27,12
2015-12-28,30-363,CLE,PHO,W (+4),35:23,14
2015-12-29,30-364,CLE,DEN,W (+6),34:23,34
2016-01-02,31-003,CLE,ORL,W (+25),29:13,29
2016-01-04,31-005,CLE,TOR,W (+22),30:41,20
2016-01-06,31-007,CLE,WAS,W (+6),39:42,34
2016-01-08,31-009,CLE,MIN,W (+26),32:14,13
2016-01-10,31-011,CLE,PHI,W (+10),37:00,37
2016-01-12,31-013,CLE,DAL,W (+3),41:43,27
2016-01-14,31-015,CLE,SAS,L (-4),37:20,22
2016-01-15,31-016,CLE,HOU,W (+14),36:23,19
2016-01-18,31-019,CLE,GSW,L (-34),32:53,16
2016-01-20,31-021,CLE,BRK,W (+13),29:03,17
2016-01-21,31-022,CLE,LAC,W (+13),35:11,22
2016-01-23,31-024,CLE,CHI,L (-13),39:44,26
2016-01-25,31-026,CLE,MIN,W (+7),38:01,25
2016-01-27,31-028,CLE,PHO,W (+22),31:01,21
2016-01-29,31-030,CLE,DET,W (+8),35:48,20
2016-01-30,31-031,CLE,SAS,W (+14),34:09,29
2016-02-01,31-033,CLE,IND,W (+5),43:35,24
2016-02-03,31-035,CLE,CHO,L (-9),39:08,23
2016-02-05,31-037,CLE,BOS,L (-1),38:05,30
2016-02-06,31-038,CLE,NOP,W (+15),36:42,27
2016-02-08,31-040,CLE,SAC,W (+20),30:54,21
2016-02-10,31-042,CLE,LAL,W (+9),36:40,29
2016-02-18,31-050,CLE,CHI,W (+11),34:37,25
2016-02-21,31-053,CLE,OKC,W (+23),37:30,25
2016-02-22,31-054,CLE,DET,L (-8),37:30,12
2016-02-24,31-056,CLE,CHO,W (+11),30:19,23
2016-02-26,31-058,CLE,TOR,L (-2),40:29,25
2016-02-29,31-061,CLE,IND,W (+4),36:49,33
2016-03-04,31-065,CLE,WAS,W (+25),30:23,19
2016-03-05,31-066,CLE,BOS,W (+17),36:00,28
2016-03-07,31-068,CLE,MEM,L (-3),37:38,28
2016-03-09,31-070,CLE,SAC,W (+9),36:33,25
2016-03-10,31-071,CLE,LAL,W (+12),34:50,24
2016-03-13,31-074,CLE,LAC,W (+24),30:43,27
2016-03-14,31-075,CLE,UTA,L (-9),36:53,23
2016-03-18,31-079,CLE,ORL,W (+6),35:44,18
2016-03-19,31-080,CLE,MIA,L (-21),26:38,26
2016-03-21,31-082,CLE,DEN,W (+33),33:26,33
2016-03-23,31-084,CLE,MIL,W (+9),36:55,26
2016-03-24,31-085,CLE,BRK,L (-9),35:04,30
2016-03-26,31-087,CLE,NYK,W (+14),35:46,27
2016-03-31,31-092,CLE,BRK,W (+20),30:40,24
2016-04-01,31-093,CLE,ATL,W (+2),44:25,29
2016-04-03,31-095,CLE,CHO,W (+9),40:50,31
2016-04-05,31-097,CLE,MIL,W (+29),28:04,17
2016-04-09,31-101,CLE,CHI,L (-3),38:33,33
2016-04-11,31-103,CLE,ATL,W (+15),32:25,34
2016-04-13,31-105,CLE,DET,L (-2),Did Not Dress,
2016-10-25,31-300,CLE,NYK,W (+29),32:23,19
2016-10-28,31-303,CLE,TOR,W (+3),38:40,21
2016-10-29,31-304,CLE,ORL,W (+6),39:00,23
2016-11-01,31-307,CLE,HOU,W (+8),35:51,19
2016-11-03,31-309,CLE,BOS,W (+6),36:22,30
2016-11-05,31-311,CLE,PHI,W (+1),35:52,25
2016-11-08,31-314,CLE,ATL,L (-4),36:52,23
2016-11-11,31-317,CLE,WAS,W (+11),38:06,27
2016-11-13,31-319,CLE,CHO,W (+7),38:42,19
2016-11-15,31-321,CLE,TOR,W (+4),38:04,28
2016-11-18,31-324,CLE,DET,W (+23),28:03,21
2016-11-23,31-329,CLE,POR,W (+12),37:30,31
2016-11-25,31-331,CLE,DAL,W (+38),29:03,19
2016-11-27,31-333,CLE,PHI,W (+4),41:30,26
2016-11-29,31-335,CLE,MIL,L (-17),32:53,22
2016-12-01,31-337,CLE,LAC,L (-19),33:37,16
2016-12-02,31-338,CLE,CHI,L (-6),44:40,27
2016-12-05,31-341,CLE,TOR,W (+4),42:01,34
2016-12-07,31-343,CLE,NYK,W (+32),32:27,25
2016-12-09,31-345,CLE,MIA,W (+30),37:19,27
2016-12-10,31-346,CLE,CHO,W (+11),42:27,44
2016-12-13,31-349,CLE,MEM,W (+17),36:29,23
2016-12-17,31-353,CLE,LAL,W (+11),38:55,26
2016-12-20,31-356,CLE,MIL,W (+6),47:29,34
2016-12-21,31-357,CLE,MIL,W (+11),34:25,29
2016-12-23,31-359,CLE,BRK,W (+20),27:16,19
2016-12-25,31-361,CLE,GSW,W (+1),40:11,31
2016-12-29,31-365,CLE,BOS,W (+6),43:44,23
2016-12-31,32-001,CLE,CHO,W (+12),35:47,32
2017-01-02,32-003,CLE,NOP,W (+8),38:55,26
2017-01-04,32-005,CLE,CHI,L (-12),36:53,31
2017-01-06,32-007,CLE,BRK,W (+8),35:17,36
2017-01-08,32-009,CLE,PHO,W (+4),39:31,28
2017-01-10,32-011,CLE,UTA,L (-8),36:55,29
2017-01-11,32-012,CLE,POR,L (-16),30:31,20
2017-01-13,32-014,CLE,SAC,W (+12),41:41,16
2017-01-16,32-017,CLE,GSW,L (-35),35:00,20
2017-01-19,32-020,CLE,PHO,W (+15),39:08,21
2017-01-21,32-022,CLE,SAS,L (-3),45:20,29
2017-01-23,32-024,CLE,NOP,L (-2),43:43,26
2017-01-25,32-026,CLE,SAC,L (-4),44:49,24
2017-01-27,32-028,CLE,BRK,W (+8),34:14,31
2017-01-29,32-030,CLE,OKC,W (+16),36:50,25
2017-01-30,32-031,CLE,DAL,L (-7),37:17,23
2017-02-01,32-033,CLE,MIN,W (+28),34:28,27
2017-02-04,32-036,CLE,NYK,W (+7),39:35,32
2017-02-06,32-038,CLE,WAS,W (+5),42:04,32
2017-02-08,32-040,CLE,IND,W (+15),38:16,25
2017-02-09,32-041,CLE,OKC,L (-9),40:53,18
2017-02-11,32-043,CLE,DEN,W (+16),33:09,27
2017-02-14,32-046,CLE,MIN,W (+8),39:30,25
2017-02-15,32-047,CLE,IND,W (+9),32:35,31
2017-02-23,32-055,CLE,NYK,W (+15),37:06,18
2017-02-27,32-059,CLE,MIL,W (+7),37:11,24
2017-03-01,32-061,CLE,BOS,L (-4),40:02,28
2017-03-03,32-063,CLE,ATL,W (+5),39:10,38
2017-03-06,32-066,CLE,MIA,L (-8),38:41,30
2017-03-09,32-069,CLE,DET,L (-5),39:05,29
2017-03-11,32-071,CLE,ORL,W (+12),37:34,24
2017-03-12,32-072,CLE,HOU,L (-5),40:10,30
2017-03-14,32-074,CLE,DET,W (+32),28:24,16
2017-03-16,32-076,CLE,UTA,W (+8),38:15,33
2017-03-19,32-079,CLE,LAL,W (+5),37:51,34
2017-03-22,32-082,CLE,DEN,L (-13),34:10,18
2017-03-24,32-084,CLE,CHO,W (+7),39:54,32
2017-03-25,32-085,CLE,WAS,L (-12),40:35,24
2017-03-27,32-087,CLE,SAS,L (-29),29:32,17
2017-03-30,32-090,CLE,CHI,L (-6),39:07,26
2017-03-31,32-091,CLE,PHI,W (+17),29:56,34
2017-04-02,32-093,CLE,IND,W (+5),51:39,41
2017-04-04,32-095,CLE,ORL,W (+20),37:06,18
2017-04-05,32-096,CLE,BOS,W (+23),38:33,36
2017-04-07,32-098,CLE,ATL,L (-14),41:25,27
2017-04-09,32-100,CLE,ATL,L (-1),46:50,32
2017-10-17,32-291,CLE,BOS,W (+3),41:12,29
2017-10-20,32-294,CLE,MIL,W (+19),37:25,24
2017-10-21,32-295,CLE,ORL,L (-21),31:12,22
2017-10-24,32-298,CLE,CHI,W (+7),37:15,34
2017-10-25,32-299,CLE,BRK,L (-5),41:22,29
2017-10-28,32-302,CLE,NOP,L (-22),30:46,18
2017-10-29,32-303,CLE,NYK,L (-19),39:28,16
2017-11-01,32-306,CLE,IND,L (-17),37:28,33
2017-11-03,32-308,CLE,WAS,W (+8),42:41,57
2017-11-05,32-310,CLE,ATL,L (-2),40:35,26
2017-11-07,32-312,CLE,MIL,W (+5),36:42,30
2017-11-09,32-314,CLE,HOU,L (-4),40:01,33
2017-11-11,32-316,CLE,DAL,W (+7),41:47,19
2017-11-13,32-318,CLE,NYK,W (+3),36:16,23
2017-11-15,32-320,CLE,CHO,W (+8),36:38,31
2017-11-17,32-322,CLE,LAC,W (+5),46:08,39
2017-11-20,32-325,CLE,DET,W (+28),27:16,18
2017-11-22,32-327,CLE,BRK,W (+10),33:26,33
2017-11-24,32-329,CLE,CHO,W (+1),39:34,27
2017-11-27,32-332,CLE,PHI,W (+22),31:03,30
2017-11-28,32-333,CLE,MIA,W (+11),28:26,21
2017-11-30,32-335,CLE,ATL,W (+7),37:34,24
2017-12-02,32-337,CLE,MEM,W (+5),39:09,34
2017-12-04,32-339,CLE,CHI,W (+22),34:16,23
2017-12-06,32-341,CLE,SAC,W (+6),41:03,32
2017-12-08,32-343,CLE,IND,L (-4),39:25,29
2017-12-09,32-344,CLE,PHI,W (+7),38:44,30
2017-12-12,32-347,CLE,ATL,W (+9),35:01,25
2017-12-14,32-349,CLE,LAL,W (+9),38:43,25
2017-12-16,32-351,CLE,UTA,W (+9),36:48,29
2017-12-17,32-352,CLE,WAS,W (+7),41:21,20
2017-12-19,32-354,CLE,MIL,L (-3),34:14,39
2017-12-21,32-356,CLE,CHI,W (+3),39:06,34
2017-12-25,32-360,CLE,GSW,L (-7),40:03,20
2017-12-27,32-362,CLE,SAC,L (-14),37:42,16
2017-12-30,33-000,CLE,UTA,L (-3),37:27,29
2018-01-02,33-003,CLE,POR,W (+17),33:49,24
2018-01-03,33-004,CLE,BOS,L (-14),32:42,19
2018-01-06,33-007,CLE,ORL,W (+4),37:17,33
2018-01-08,33-009,CLE,MIN,L (-28),26:35,10
2018-01-11,33-012,CLE,TOR,L (-34),32:14,26
2018-01-12,33-013,CLE,IND,L (-2),40:27,27
2018-01-15,33-016,CLE,GSW,L (-10),36:15,32
2018-01-18,33-019,CLE,ORL,W (+1),34:47,16
2018-01-20,33-021,CLE,OKC,L (-24),38:22,18
2018-01-23,33-024,CLE,SAS,L (-12),37:57,28
2018-01-26,33-027,CLE,IND,W (+7),39:55,26
2018-01-28,33-029,CLE,DET,W (+17),37:48,25
2018-01-30,33-031,CLE,DET,L (-11),37:45,21
2018-01-31,33-032,CLE,MIA,W (+2),38:17,24
2018-02-03,33-035,CLE,HOU,L (-32),31:22,11
2018-02-06,33-038,CLE,ORL,L (-18),33:05,25
2018-02-07,33-039,CLE,MIN,W (+2),48:19,37
2018-02-09,33-041,CLE,ATL,W (+16),40:43,22
2018-02-11,33-043,CLE,BOS,W (+22),27:54,24
2018-02-13,33-045,CLE,OKC,W (+8),39:44,37
2018-02-22,33-054,CLE,WAS,L (-7),36:36,32
2018-02-23,33-055,CLE,MEM,W (+23),36:40,18
2018-02-25,33-057,CLE,SAS,L (-16),39:58,33
2018-02-27,33-059,CLE,BRK,W (+6),38:46,31
2018-03-01,33-061,CLE,PHI,L (-11),39:02,30
2018-03-03,33-063,CLE,DEN,L (-9),42:23,25
2018-03-05,33-065,CLE,DET,W (+22),28:44,31
2018-03-07,33-067,CLE,DEN,W (+5),39:08,39
2018-03-09,33-069,CLE,LAC,L (-14),38:53,25
2018-03-11,33-071,CLE,LAL,L (-14),31:27,24
2018-03-13,33-073,CLE,PHO,W (+22),33:13,28
2018-03-15,33-075,CLE,POR,L (-8),41:05,35
2018-03-17,33-077,CLE,CHI,W (+5),39:53,33
2018-03-19,33-079,CLE,MIL,W (+7),40:01,40
2018-03-21,33-081,CLE,TOR,W (+3),39:24,35
2018-03-23,33-083,CLE,PHO,W (+25),29:16,27
2018-03-25,33-085,CLE,BRK,W (+7),38:03,37
2018-03-27,33-087,CLE,MIA,L (-19),37:59,18
2018-03-28,33-088,CLE,CHO,W (+13),36:53,41
2018-03-30,33-090,CLE,NOP,W (+5),41:45,27
2018-04-01,33-092,CLE,DAL,W (+11),38:32,16
2018-04-03,33-094,CLE,TOR,W (+6),37:16,27
2018-04-05,33-096,CLE,WAS,W (+4),38:48,33
2018-04-06,33-097,CLE,PHI,L (-2),40:11,44
2018-04-09,33-100,CLE,NYK,W (+14),38:38,26
2018-04-11,33-102,CLE,NYK,L (-12),10:33,10
2018-10-18,33-292,LAL,POR,L (-9),37:20,26
2018-10-20,33-294,LAL,HOU,L (-9),38:52,24
2018-10-22,33-296,LAL,SAS,L (-1),42:52,32
2018-10-24,33-298,LAL,PHO,W (+18),28:04,19
2018-10-25,33-299,LAL,DEN,W (+7),34:40,28
2018-10-27,33-301,LAL,SAS,L (-4),34:18,35
2018-10-29,33-303,LAL,MIN,L (-4),36:16,29
2018-10-31,33-305,LAL,DAL,W (+1),38:34,29
2018-11-03,33-308,LAL,POR,W (+4),31:21,28
2018-11-04,33-309,LAL,TOR,L (-14),28:17,18
2018-11-07,33-312,LAL,MIN,W (+4),38:32,24
2018-11-10,33-315,LAL,SAC,W (+15),31:17,25
2018-11-11,33-316,LAL,ATL,W (+1),34:18,26
2018-11-14,33-319,LAL,POR,W (+9),36:00,44
2018-11-17,33-322,LAL,ORL,L (-13),25:53,22
2018-11-18,33-323,LAL,MIA,W (+16),38:29,51
2018-11-21,33-326,LAL,CLE,W (+4),35:30,32
2018-11-23,33-328,LAL,UTA,W (+7),35:04,22
2018-11-25,33-330,LAL,ORL,L (-4),40:27,24
2018-11-27,33-332,LAL,DEN,L (-32),30:04,14
2018-11-29,33-334,LAL,IND,W (+8),38:09,38
2018-11-30,33-335,LAL,DAL,W (+11),31:19,28
2018-12-02,33-337,LAL,PHO,W (+24),30:59,22
2018-12-05,33-340,LAL,SAS,W (+8),39:42,42
2018-12-07,33-342,LAL,SAS,L (-13),37:21,35
2018-12-08,33-343,LAL,MEM,W (+23),31:38,20
2018-12-10,33-345,LAL,MIA,W (+3),37:31,28
2018-12-13,33-348,LAL,HOU,L (-15),36:26,29
2018-12-15,33-350,LAL,CHO,W (+28),30:13,24
2018-12-16,33-351,LAL,WAS,L (-18),32:00,13
2018-12-18,33-353,LAL,BRK,L (-5),41:12,36
2018-12-21,33-356,LAL,NOP,W (+8),38:45,22
2018-12-23,33-358,LAL,MEM,L (-8),35:37,22
2018-12-25,33-360,LAL,GSW,W (+26),21:15,17
2019-01-31,34-032,LAL,LAC,W (+3),40:26,24
2019-02-05,34-037,LAL,IND,L (-42),30:13,18
2019-02-07,34-039,LAL,BOS,W (+1),37:44,28
2019-02-10,34-042,LAL,PHI,L (-23),33:09,18
2019-02-12,34-044,LAL,ATL,L (-4),43:03,28
2019-02-21,34-053,LAL,HOU,W (+5),40:08,29
2019-02-23,34-055,LAL,NOP,L (-13),38:31,27
2019-02-25,34-057,LAL,MEM,L (-5),39:44,24
2019-02-27,34-059,LAL,NOP,W (+6),37:19,33
2019-03-01,34-061,LAL,MIL,L (-11),38:49,31
2019-03-02,34-062,LAL,PHO,L (-9),40:46,27
2019-03-04,34-064,LAL,LAC,L (-8),42:24,27
2019-03-06,34-066,LAL,DEN,L (-16),31:07,31
2019-03-09,34-069,LAL,BOS,L (-13),27:46,30
2019-03-12,34-072,LAL,CHI,W (+16),33:24,36
2019-03-14,34-074,LAL,TOR,L (-13),31:47,29
2019-03-17,34-077,LAL,NYK,L (-1),35:00,33
2019-03-22,34-082,LAL,BRK,L (-5),36:42,25
2019-03-24,34-084,LAL,SAC,W (+5),35:16,29
2019-03-26,34-086,LAL,WAS,W (+18),33:54,23
2019-03-29,34-089,LAL,CHO,W (+14),31:58,27
2019-10-22,34-296,LAL,LAC,L (-10),36:00,18
2019-10-25,34-299,LAL,UTA,W (+9),30:34,32
2019-10-27,34-301,LAL,CHO,W (+19),35:01,20
2019-10-29,34-303,LAL,MEM,W (+29),28:19,23
2019-11-01,34-306,LAL,DAL,W (+9),42:32,39
2019-11-03,34-308,LAL,SAS,W (+7),37:18,21
2019-11-05,34-310,LAL,CHI,W (+6),35:11,30
2019-11-08,34-313,LAL,MIA,W (+15),36:03,25
2019-11-10,34-315,LAL,TOR,L (-9),35:20,13
2019-11-12,34-317,LAL,PHO,W (+8),37:04,19
2019-11-13,34-318,LAL,GSW,W (+26),26:29,23
2019-11-15,34-320,LAL,SAC,W (+2),38:40,29
2019-11-17,34-322,LAL,ATL,W (+21),33:07,33
2019-11-19,34-324,LAL,OKC,W (+5),37:08,25
2019-11-22,34-327,LAL,OKC,W (+3),35:37,23
2019-11-23,34-328,LAL,MEM,W (+1),38:50,30
2019-11-25,34-330,LAL,SAS,W (+10),35:08,33
2019-11-27,34-332,LAL,NOP,W (+4),37:35,29
2019-11-29,34-334,LAL,WAS,W (+22),24:36,23
2019-12-01,34-336,LAL,DAL,L (-14),36:25,25
2019-12-03,34-338,LAL,DEN,W (+9),36:53,25
2019-12-04,34-339,LAL,UTA,W (+25),29:28,20
2019-12-06,34-341,LAL,POR,W (+23),33:45,31
2019-12-08,34-343,LAL,MIN,W (+17),27:51,32
2019-12-11,34-346,LAL,ORL,W (+9),37:55,25
2019-12-13,34-348,LAL,MIA,W (+3),37:26,28
2019-12-15,34-350,LAL,ATL,W (+5),36:56,32
2019-12-17,34-352,LAL,IND,L (-3),34:54,20
2019-12-19,34-354,LAL,MIL,L (-7),36:44,21
2019-12-25,34-360,LAL,LAC,L (-5),38:50,23
2019-12-28,34-363,LAL,POR,W (+8),36:44,21
2019-12-29,34-364,LAL,DAL,W (+13),34:19,13
2020-01-01,35-002,LAL,PHO,W (+10),38:04,31
2020-01-03,35-004,LAL,NOP,W (+10),37:13,17
2020-01-05,35-006,LAL,DET,W (+7),35:01,21
2020-01-07,35-008,LAL,NYK,W (+30),31:26,31
2020-01-10,35-011,LAL,DAL,W (+15),32:16,35
2020-01-13,35-014,LAL,CLE,W (+29),32:43,31
2020-01-15,35-016,LAL,ORL,L (-1),36:15,19
2020-01-18,35-019,LAL,HOU,W (+9),35:24,31
2020-01-20,35-021,LAL,BOS,L (-32),29:11,15
2020-01-22,35-023,LAL,NYK,W (+8),36:03,21
2020-01-23,35-024,LAL,BRK,W (+15),33:36,27
2020-01-25,35-026,LAL,PHI,L (-17),35:21,29
2020-01-31,35-032,LAL,POR,L (-8),37:59,22
2020-02-01,35-033,LAL,SAC,W (+16),33:34,15
2020-02-04,35-036,LAL,SAS,W (+27),34:11,36
2020-02-06,35-038,LAL,HOU,L (-10),36:38,18
2020-02-08,35-040,LAL,GSW,W (+5),33:34,22
2020-02-10,35-042,LAL,PHO,W (+25),30:05,17
2020-02-12,35-044,LAL,DEN,W (+4),41:30,32
2020-02-21,35-053,LAL,MEM,W (+12),35:35,32
2020-02-23,35-055,LAL,BOS,W (+2),35:29,29
2020-02-25,35-057,LAL,NOP,W (+9),34:12,40
2020-02-29,35-061,LAL,MEM,L (-17),34:19,19
2020-03-01,35-062,LAL,NOP,W (+8),36:23,34
2020-03-03,35-064,LAL,PHI,W (+13),33:45,22
2020-03-06,35-067,LAL,MIL,W (+10),36:30,37
2020-03-08,35-069,LAL,LAC,W (+9),34:31,28
2020-03-10,35-071,LAL,BRK,L (-2),34:52,29
2020-07-30,35-213,LAL,LAC,W (+2),34:18,16
2020-08-01,35-215,LAL,TOR,L (-15),34:36,20
2020-08-03,35-217,LAL,UTA,W (+8),34:53,22
2020-08-05,35-219,LAL,OKC,L (-19),30:17,19
2020-08-08,35-222,LAL,IND,L (-5),35:09,31
2020-08-10,35-224,LAL,DEN,W (+3),38:06,29
2020-08-13,35-227,LAL,SAC,L (-14),14:36,17
